"ID","REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"6895","21324","Jeux-lès-Bard","jeux-les-bard","jeux les bard","21","27","0",,"21460","47.5318872622","4.25532260801"
"6896","21325","Jouey","jouey","jouey","21","27","0",,"21230","47.1581126666","4.4375513171"
"6897","21326","Jours-lès-Baigneux","jours-les-baigneux","jours les baigneux","21","27","0",,"21450","47.6253821222","4.60399533048"
"6898","21327","Val-Mont","val-mont","val mont","21","27","0",,"21340","47.0387310414","4.59082588585"
"6899","21328","Juillenay","juillenay","juillenay","21","27","0",,"21210","47.3613728511","4.27210840782"
"6900","21329","Juilly","juilly","juilly","21","27","0",,"21140","47.4902826787","4.40108414456"
"6901","21330","Labergement-Foigney","labergement-foigney","labergement foigney","21","27","0",,"21110","47.2578064369","5.24786490582"
"6902","21331","Labergement-lès-Auxonne","labergement-les-auxonne","labergement les auxonne","21","27","0",,"21130","47.1593953022","5.37863306845"
"6903","21332","Labergement-lès-Seurre","labergement-les-seurre","labergement les seurre","21","27","0",,"21820","46.9957329015","5.08792946182"
"6904","21333","Labruyère","labruyere","labruyere","21","27","0",,"21250","47.0383104584","5.14163984518"
"6905","21334","Lacanche","lacanche","lacanche","21","27","0",,"21230","47.0750677068","4.55599388043"
"6906","21335","Lacour-d'Arcenay","lacour-d-arcenay","lacour d arcenay","21","27","0",,"21210","47.3599600361","4.23532067428"
"6907","21336","Laignes","laignes","laignes","21","27","0",,"21330","47.8261016815","4.36829803111"
"6908","21337","Lamarche-sur-Saône","lamarche-sur-saone","lamarche sur saone","21","27","0",,"21760","47.272628371","5.3700531105"
"6909","21338","Lamargelle","lamargelle","lamargelle","21","27","0",,"21440","47.5203693141","4.83729025625"
"6910","21339","Lantenay","lantenay","lantenay","21","27","0",,"21370","47.3437761758","4.86573170898"
"6911","21340","Lanthes","lanthes","lanthes","21","27","0",,"21250","46.9990158896","5.20408699445"
"6912","21341","Lantilly","lantilly","lantilly","21","27","0",,"21140","47.5421056928","4.37838223017"
